DEWP,TEMP,PRES,Iws,Is,Ir,hour_sin,hour_cos,pm2_1,pm2_24,pm2_24_mean
-15,-11.0,1033.0,0.89,0,0,0.0,1.0,66.0,165.0,88.5
-17,-13.0,1033.0,1.78,0,0,0.25881904510252074,0.9659258262890683,75.0,159.0,84.75
-17,-12.0,1033.0,4.91,0,0,0.49999999999999994,0.8660254037844387,82.0,167.0,81.54166666666667
-17,-13.0,1033.0,8.04,0,0,0.7071067811865475,0.7071067811865476,66.0,196.0,77.33333333333333
-19,-14.0,1032.0,9.83,0,0,0.8660254037844386,0.5000000000000001,83.0,169.0,72.625
-18,-13.0,1032.0,12.96,0,0,0.9659258262890683,0.25881904510252074,62.0,155.0,68.16666666666667
-19,-13.0,1032.0,16.09,0,0,1.0,6.123233995736766e-17,40.0,119.0,63.375
-19,-14.0,1033.0,19.22,0,0,0.9659258262890683,-0.25881904510252063,23.0,106.0,59.375
-19,-14.0,1034.0,22.35,0,0,0.8660254037844387,-0.49999999999999983,25.0,93.0,56.0
-17,-12.0,1033.0,24.14,0,0,0.7071067811865476,-0.7071067811865475,27.0,84.0,53.25
-16,-7.0,1033.0,4.02,0,0,0.49999999999999994,-0.8660254037844387,35.0,73.0,51.208333333333336
-15,-7.0,1033.0,3.13,0,0,0.258819045102521,-0.9659258262890682,50.0,66.0,50.25
-15,-7.0,1032.0,6.26,0,0,1.2246467991473532e-16,-1.0,70.0,40.0,50.416666666666664
-14,-6.0,1031.0,9.39,0,0,-0.2588190451025208,-0.9659258262890683,75.0,49.0,51.875
-14,-6.0,1031.0,12.52,0,0,-0.4999999999999998,-0.8660254037844388,58.0,50.0,52.25
-13,-5.0,1030.0,14.31,0,0,-0.7071067811865471,-0.7071067811865479,70.0,49.0,53.083333333333336
-14,-5.0,1031.0,16.1,0,0,-0.8660254037844384,-0.5000000000000004,68.0,41.0,53.875
-14,-6.0,1031.0,19.23,0,0,-0.9659258262890683,-0.25881904510252063,71.0,37.0,55.125
-13,-7.0,1032.0,23.25,0,0,-1.0,-1.8369701987210297e-16,88.0,45.0,57.25
-15,-6.0,1032.0,27.27,0,0,-0.9659258262890684,0.2588190451025203,84.0,44.0,58.875
-15,-6.0,1033.0,30.4,0,0,-0.8660254037844386,0.5000000000000001,83.0,54.0,60.5
-15,-4.0,1034.0,35.32,0,0,-0.7071067811865477,0.7071067811865474,66.0,50.0,61.0
-16,-4.0,1034.0,44.26,0,0,-0.5000000000000004,0.8660254037844384,27.0,47.0,60.041666666666664
-17,-5.0,1035.0,52.31,0,0,-0.25881904510252157,0.9659258262890681,24.0,66.0,59.083333333333336
-17,-6.0,1035.0,60.36,0,0,0.0,1.0,22.0,75.0,57.25
-17,-8.0,1035.0,0.89,0,0,0.25881904510252074,0.9659258262890683,23.0,82.0,55.083333333333336
-19,-11.0,1036.0,4.02,0,0,0.49999999999999994,0.8660254037844387,27.0,66.0,52.791666666666664
-20,-11.0,1036.0,8.94,0,0,0.7071067811865475,0.7071067811865476,23.0,83.0,51.0
-21,-11.0,1035.0,4.02,0,0,0.8660254037844386,0.5000000000000001,17.0,62.0,48.25
-22,-12.0,1035.0,3.13,0,0,0.9659258262890683,0.25881904510252074,17.0,40.0,46.375
-22,-12.0,1035.0,4.92,0,0,1.0,6.123233995736766e-17,16.0,23.0,45.375
-22,-13.0,1036.0,5.81,0,0,0.9659258262890683,-0.25881904510252063,16.0,25.0,45.083333333333336
-22,-9.0,1036.0,13.86,0,0,0.8660254037844387,-0.49999999999999983,20.0,27.0,44.875
-22,-10.0,1036.0,21.91,0,0,0.7071067811865476,-0.7071067811865475,20.0,35.0,44.583333333333336
-22,-9.0,1036.0,29.06,0,0,0.49999999999999994,-0.8660254037844387,18.0,50.0,43.875
-21,-9.0,1036.0,33.08,0,0,0.258819045102521,-0.9659258262890682,25.0,70.0,42.833333333333336
-20,-6.0,1035.0,42.02,0,0,1.2246467991473532e-16,-1.0,26.0,75.0,41.0
-19,-5.0,1034.0,50.96,0,0,-0.2588190451025208,-0.9659258262890683,27.0,58.0,39.0
-19,-5.0,1033.0,59.01,0,0,-0.4999999999999998,-0.8660254037844388,28.0,70.0,37.75
-20,-5.0,1033.0,66.16,0,0,-0.7071067811865471,-0.7071067811865479,15.0,68.0,35.458333333333336
-20,-5.0,1032.0,71.97,0,0,-0.8660254037844384,-0.5000000000000004,24.0,71.0,33.625
