,pm2.5
0,75.0
1,82.0
2,66.0
3,83.0
4,62.0
5,40.0
6,23.0
7,25.0
8,27.0
9,35.0
10,50.0
11,70.0
12,75.0
13,58.0
14,70.0
15,68.0
16,71.0
17,88.0
18,84.0
19,83.0
20,66.0
21,27.0
22,24.0
23,22.0
24,23.0
25,27.0
26,23.0
27,17.0
28,17.0
29,16.0
30,16.0
31,20.0
32,20.0
33,18.0
34,25.0
35,26.0
36,27.0
37,28.0
38,15.0
39,24.0
40,13.0
41,13.0
42,13.0
43,17.0
44,20.0
45,27.0
46,20.0
47,15.0
48,21.0
49,21.0
50,37.0
51,26.0
52,15.0
53,9.0
54,11.0
55,11.0
56,16.0
57,13.0
58,15.0
59,21.0
60,24.0
61,22.0
62,22.0
63,22.0
64,19.0
65,23.0
66,25.0
67,25.0
68,31.0
69,25.0
70,22.0
71,22.0
72,15.0
73,16.0
74,11.0
75,11.0
76,12.0
77,11.0
78,12.0
79,27.0
80,28.0
81,34.0
82,33.0
83,36.0
84,26.0
85,49.0
86,52.0
87,47.0
88,47.0
89,39.0
90,59.0
91,76.0
92,96.0
93,95.0
94,68.0
95,65.0
96,75.0
97,257.0
98,174.0
99,164.0
100,161.0
101,137.0
102,92.0
103,64.0
104,87.0
105,87.0
106,84.0
107,95.0
108,79.0
109,75.0
110,79.0
111,86.0
112,72.0
113,89.0
114,94.0
115,69.0
116,49.0
117,33.0
118,27.0
119,20.0
120,36.0
121,37.0
122,30.0
123,18.0
124,21.0
125,13.0
126,23.0
127,26.0
128,27.0
129,30.0
130,28.0
131,26.0
132,26.0
133,31.0
134,35.0
135,36.0
136,37.0
137,64.0
138,83.0
139,91.0
140,90.0
141,102.0
142,94.0
143,87.0
144,141.0
145,211.0
146,242.0
147,271.0
148,249.0
149,200.0
150,147.0
151,114.0
152,102.0
153,108.0
154,135.0
155,120.0
156,148.0
157,127.0
158,128.0
159,140.0
160,148.0
161,150.0
162,154.0
163,197.0
164,235.0
165,261.0
166,269.0
167,266.0
168,263.0
169,241.0
170,205.0
171,160.0
172,150.0
173,148.0
174,208.0
175,209.0
176,183.0
177,161.0
178,182.0
179,230.0
180,170.0
181,172.0
182,154.0
183,166.0
184,177.0
185,191.0
186,212.0
187,250.0
188,268.0
189,317.0
190,291.0
191,313.0
192,282.0
193,282.0
194,303.0
195,349.0
196,407.0
197,361.0
198,234.0
199,149.0
200,147.0
201,184.0
202,161.0
203,137.0
204,146.0
205,144.0
206,154.0
207,173.0
208,188.0
209,203.0
210,233.0
211,408.0
212,435.0
213,403.0
214,360.0
215,402.0
216,358.0
217,383.0
218,332.0
219,274.0
220,256.0
221,302.0
222,330.0
223,367.0
224,297.0
225,331.0
226,323.0
227,339.0
228,301.0
229,310.0
230,305.0
231,313.0
232,336.0
233,357.0
234,485.0
235,426.0
236,403.0
237,374.0
238,333.0
239,343.0
240,364.0
241,389.0
242,368.0
243,267.0
244,71.0
245,81.0
246,51.0
247,49.0
248,44.0
249,45.0
250,35.0
251,29.0
252,27.0
253,29.0
254,16.0
255,23.0
256,28.0
257,22.0
258,11.0
259,25.0
260,16.0
261,20.0
262,20.0
263,18.0
264,18.0
265,17.0
266,17.0
267,17.0
268,15.0
269,19.0
270,16.0
271,18.0
272,18.0
273,18.0
274,26.0
275,26.0
276,25.0
277,24.0
278,15.0
279,17.0
280,15.0
281,21.0
282,40.0
283,51.0
284,45.0
285,61.0
286,72.0
287,38.0
288,35.0
289,29.0
290,26.0
291,18.0
292,15.0
293,15.0
294,22.0
295,21.0
296,19.0
297,22.0
298,25.0
299,22.0
300,26.0
301,32.0
302,30.0
303,32.0
304,30.0
305,32.0
306,37.0
307,49.0
308,47.0
309,39.0
310,35.0
311,48.0
312,49.0
313,24.0
314,23.0
315,20.0
316,19.0
317,16.0
318,22.0
319,24.0
320,24.0
321,41.0
322,23.0
323,19.0
324,15.0
325,19.0
326,17.0
327,17.0
328,22.0
329,88.0
330,85.0
331,90.0
332,127.0
333,144.0
334,203.0
335,199.0
336,231.0
337,274.0
338,340.0
339,298.0
340,268.0
341,299.0
342,300.0
343,240.0
344,213.0
345,171.0
346,153.0
347,153.0
348,140.0
349,147.0
350,158.0
351,153.0
352,154.0
353,143.0
354,90.0
355,55.0
356,52.0
357,41.0
358,29.0
359,37.0
360,49.0
361,56.0
362,38.0
363,37.0
364,28.0
365,20.0
366,22.0
367,27.0
368,34.0
369,27.0
370,32.0
371,28.0
372,28.0
373,18.0
374,17.0
375,16.0
376,18.0
377,16.0
378,12.0
379,13.0
380,23.0
381,21.0
382,13.0
383,14.0
384,23.0
385,16.0
386,25.0
387,20.0
388,25.0
389,19.0
390,24.0
391,25.0
392,20.0
393,24.0
394,17.0
395,10.0
396,11.0
397,16.0
398,20.0
399,13.0
400,12.0
401,12.0
402,12.0
403,12.0
404,31.0
405,36.0
406,42.0
407,52.0
408,26.0
409,24.0
410,25.0
411,43.0
412,47.0
413,61.0
414,66.0
415,65.0
416,70.0
417,36.0
418,37.0
419,22.0
420,24.0
421,29.0
422,35.0
423,35.0
424,33.0
425,32.0
426,25.0
427,16.0
428,26.0
429,32.0
430,36.0
431,37.0
432,45.0
433,71.0
434,67.0
435,69.0
436,94.0
437,85.0
438,35.0
439,26.0
440,24.0
441,20.0
442,16.0
443,18.0
444,19.0
445,22.0
446,17.0
447,18.0
448,11.0
449,11.0
450,16.0
451,18.0
452,17.0
453,19.0
454,26.0
455,24.0
456,54.0
457,71.0
458,129.0
459,145.0
460,101.0
461,65.0
462,70.0
463,67.0
464,76.0
465,76.0
466,68.0
467,73.0
468,73.0
469,64.0
470,53.0
471,72.0
472,78.0
473,72.0
474,56.0
475,54.0
476,40.0
477,49.0
478,63.0
479,66.0
480,64.0
481,63.0
482,65.0
483,64.0
484,64.0
485,62.0
486,56.0
487,87.0
488,72.0
489,104.0
490,97.0
491,96.0
492,86.0
493,85.0
494,92.0
495,55.0
496,36.0
497,27.0
498,25.0
499,28.0
500,32.0
501,35.0
502,43.0
503,70.0
504,83.0
505,66.0
506,70.0
507,80.0
508,88.0
509,69.0
510,71.0
511,62.0
512,73.0
513,107.0
514,94.0
515,121.0
516,132.0
517,161.0
518,120.0
519,72.0
520,58.0
521,34.0
522,14.0
523,17.0
524,15.0
525,23.0
526,34.0
527,96.0
528,87.0
529,87.0
530,95.0
531,105.0
532,114.0
533,103.0
534,99.0
535,102.0
536,104.0
537,78.0
538,33.0
539,29.0
540,27.0
541,27.0
542,26.0
543,33.0
544,29.0
545,31.0
546,28.0
547,28.0
548,61.0
549,64.0
550,80.0
551,91.0
552,79.0
553,48.0
554,59.0
555,82.0
556,63.0
557,48.0
558,54.0
559,42.0
560,47.0
561,87.0
562,105.0
563,90.0
564,101.0
565,126.0
566,114.0
567,103.0
568,114.0
569,100.0
570,72.0
571,68.0
572,72.0
573,71.0
574,80.0
575,70.0
576,63.0
577,67.0
578,62.0
579,69.0
580,58.0
581,51.0
582,51.0
583,54.0
584,45.0
585,47.0
586,85.0
587,78.0
588,68.0
589,64.0
590,65.0
591,80.0
592,74.0
593,93.0
594,77.0
595,67.0
596,84.0
597,77.0
598,83.0
599,82.0
600,100.0
601,189.0
602,99.0
603,71.0
604,43.0
605,64.0
606,68.0
607,69.0
608,65.0
609,71.0
610,77.0
611,81.0
612,88.0
613,90.0
614,92.0
615,88.0
616,80.0
617,100.0
618,105.0
619,118.0
620,125.0
621,141.0
622,152.0
623,164.0
624,147.0
625,162.0
626,157.0
627,156.0
628,160.0
629,178.0
630,187.0
631,181.0
632,185.0
633,197.0
634,180.0
635,172.0
636,166.0
637,136.0
638,133.0
639,140.0
640,159.0
641,169.0
642,170.0
643,184.0
644,163.0
645,140.0
646,144.0
647,166.0
648,196.0
649,227.0
650,210.0
651,233.0
652,258.0
653,247.0
654,230.0
655,273.0
656,253.0
657,254.0
658,241.0
659,229.0
660,199.0
661,193.0
662,207.0
663,176.0
664,91.0
665,58.0
666,39.0
667,50.0
668,51.0
669,49.0
670,54.0
671,153.0
672,181.0
673,181.0
674,182.0
675,156.0
676,27.0
677,16.0
678,22.0
679,21.0
680,6.0
681,8.0
682,8.0
683,8.0
684,10.0
685,9.0
686,20.0
687,14.0
688,16.0
689,14.0
690,10.0
691,7.0
692,8.0
693,12.0
694,15.0
695,8.0
696,11.0
697,18.0
698,16.0
699,11.0
700,10.0
701,11.0
702,10.0
703,10.0
704,12.0
705,12.0
706,10.0
707,10.0
708,9.0
709,9.0
710,11.0
711,12.0
712,12.0
713,12.0
714,21.0
715,18.0
716,13.0
717,18.0
718,17.0
719,19.0
720,22.0
721,20.0
722,24.0
723,19.0
724,13.0
725,17.0
726,22.0
727,16.0
728,16.0
729,11.0
730,10.0
731,9.0
732,11.0
733,14.0
734,21.0
735,26.0
736,21.0
737,19.0
738,13.0
739,13.0
740,13.0
741,13.0
742,11.0
743,19.0
744,22.0
745,50.0
746,58.0
747,60.0
748,69.0
749,108.0
750,51.0
751,54.0
752,38.0
753,27.0
754,23.0
755,27.0
756,28.0
757,24.0
758,26.0
759,23.0
760,37.0
761,46.0
762,49.0
763,53.0
764,57.0
765,51.0
766,64.0
767,100.0
768,113.0
769,136.0
770,213.0
771,259.0
772,267.0
773,351.0
774,980.0
775,599.0
776,39.0
777,7.0
778,8.0
779,7.0
780,7.0
781,7.0
782,16.0
783,19.0
784,15.0
785,21.0
786,18.0
787,16.0
788,15.0
789,16.0
790,16.0
791,21.0
792,36.0
793,51.0
794,67.0
795,46.0
796,45.0
797,27.0
798,24.0
799,18.0
800,15.0
801,17.0
802,11.0
803,16.0
804,16.0
805,39.0
806,25.0
807,17.0
808,8.0
809,11.0
810,14.0
811,15.0
812,15.0
813,13.0
814,13.0
815,26.0
816,50.0
817,73.0
818,96.0
819,116.0
820,146.0
821,113.0
822,91.0
823,70.0
824,65.0
825,51.0
826,29.0
827,30.0
828,26.0
829,26.0
830,24.0
831,21.0
832,24.0
833,39.0
834,79.0
835,99.0
836,118.0
837,140.0
838,159.0
839,161.0
840,167.0
841,178.0
842,192.0
843,198.0
844,207.0
845,237.0
846,247.0
847,227.0
848,176.0
849,113.0
850,46.0
851,18.0
852,13.0
853,22.0
854,15.0
855,18.0
856,18.0
857,12.0
858,11.0
859,11.0
860,12.0
861,9.0
862,9.0
863,27.0
864,31.0
865,39.0
866,49.0
867,48.0
868,50.0
869,38.0
870,36.0
871,41.0
872,80.0
873,70.0
874,74.0
875,77.0
876,87.0
877,107.0
878,54.0
879,36.0
880,34.0
881,19.0
882,26.0
883,27.0
884,27.0
885,29.0
886,41.0
887,47.0
888,115.0
889,265.0
890,236.0
891,296.0
892,159.0
893,119.0
894,115.0
895,168.0
896,177.0
897,191.0
898,185.0
899,157.0
900,114.0
901,117.0
902,112.0
903,107.0
904,96.0
905,99.0
906,82.0
907,58.0
908,40.0
909,45.0
910,44.0
911,49.0
912,65.0
913,101.0
914,146.0
915,165.0
916,205.0
917,191.0
918,204.0
919,190.0
920,174.0
921,144.0
922,120.0
923,122.0
924,152.0
925,158.0
926,178.0
927,184.0
928,184.0
929,185.0
930,175.0
931,165.0
932,150.0
933,163.0
934,172.0
935,184.0
936,178.0
937,211.0
938,213.0
939,282.0
940,261.0
941,215.0
942,233.0
943,235.0
944,214.0
945,205.0
946,206.0
947,220.0
948,191.0
949,189.0
950,109.0
951,65.0
952,35.0
953,35.0
954,27.0
955,36.0
956,30.0
957,23.0
958,20.0
959,30.0
960,69.0
961,99.0
962,117.0
963,154.0
964,154.0
965,136.0
966,143.0
967,132.0
968,100.0
969,89.0
970,90.0
971,90.0
972,99.0
973,92.0
974,80.0
975,56.0
976,60.0
977,72.0
978,76.0
979,79.0
980,84.0
981,92.0
982,100.0
983,95.0
984,81.0
985,95.0
986,87.0
987,86.0
988,90.0
989,111.0
990,104.0
991,129.0
992,117.0
993,105.0
994,112.0
995,130.0
996,134.0
997,136.0
998,142.0
999,150.0
1000,148.0
1001,160.0
1002,179.0
1003,183.0
1004,191.0
1005,195.0
1006,196.0
1007,218.0
1008,246.0
1009,264.0
1010,274.0
1011,282.0
1012,283.0
1013,242.0
1014,227.0
1015,223.0
1016,227.0
1017,227.0
1018,237.0
1019,243.0
1020,262.0
1021,296.0
1022,301.0
1023,302.0
1024,311.0
1025,307.0
1026,312.0
1027,298.0
1028,292.0
1029,299.0
1030,353.0
1031,368.0
1032,309.0
1033,284.0
1034,244.0
1035,218.0
1036,164.0
1037,153.0
1038,135.0
1039,134.0
1040,139.0
1041,148.0
1042,210.0
1043,218.0
1044,253.0
1045,266.0
1046,241.0
1047,235.0
1048,237.0
1049,248.0
1050,180.0
1051,176.0
1052,165.0
1053,138.0
1054,136.0
1055,136.0
1056,130.0
1057,118.0
1058,56.0
1059,55.0
1060,52.0
1061,46.0
1062,46.0
1063,45.0
1064,51.0
1065,53.0
1066,50.0
1067,46.0
1068,58.0
1069,75.0
1070,72.0
1071,82.0
1072,81.0
1073,91.0
1074,93.0
1075,90.0
1076,79.0
1077,79.0
1078,70.0
1079,70.0
1080,84.0
1081,103.0
1082,95.0
1083,66.0
1084,38.0
1085,35.0
1086,30.0
1087,29.0
1088,31.0
1089,29.0
1090,31.0
1091,34.0
1092,52.0
1093,65.0
1094,89.0
1095,138.0
1096,77.0
1097,88.0
1098,95.0
1099,105.0
1100,101.0
1101,102.0
1102,103.0
1103,105.0
1104,98.0
1105,124.0
1106,112.0
1107,123.0
1108,126.0
1109,114.0
1110,115.0
1111,128.0
1112,138.0
1113,145.0
1114,139.0
1115,119.0
1116,114.0
1117,78.0
1118,80.0
1119,37.0
1120,20.0
1121,20.0
1122,14.0
1123,13.0
1124,16.0
1125,15.0
1126,21.0
1127,72.0
1128,85.0
1129,108.0
1130,128.0
1131,161.0
1132,69.0
1133,59.0
1134,42.0
1135,35.0
1136,35.0
1137,29.0
1138,25.0
1139,23.0
1140,17.0
1141,25.0
1142,39.0
1143,44.0
1144,51.0
1145,61.0
1146,70.0
1147,70.0
1148,65.0
1149,75.0
1150,86.0
1151,91.0
1152,95.0
1153,89.0
1154,96.0
1155,99.0
1156,101.0
1157,101.0
1158,108.0
1159,108.0
1160,115.0
1161,111.0
1162,120.0
1163,125.0
1164,138.0
1165,164.0
1166,169.0
1167,82.0
1168,63.0
1169,37.0
1170,37.0
1171,36.0
1172,30.0
1173,27.0
1174,28.0
1175,34.0
1176,44.0
1177,116.0
1178,139.0
1179,129.0
1180,109.0
1181,97.0
1182,92.0
1183,158.0
1184,178.0
1185,135.0
1186,111.0
1187,114.0
1188,121.0
1189,126.0
1190,133.0
1191,146.0
1192,165.0
1193,202.0
1194,230.0
1195,247.0
1196,236.0
1197,227.0
1198,224.0
1199,187.0
1200,150.0
1201,144.0
1202,123.0
1203,134.0
1204,98.0
1205,101.0
1206,108.0
1207,126.0
1208,125.0
1209,121.0
1210,123.0
1211,126.0
1212,131.0
1213,126.0
1214,156.0
1215,187.0
1216,220.0
1217,237.0
1218,252.0
1219,226.0
1220,231.0
1221,222.0
1222,246.0
1223,261.0
1224,256.0
1225,255.0
1226,263.0
1227,269.0
1228,248.0
1229,89.0
1230,15.0
1231,19.0
1232,15.0
1233,13.0
1234,16.0
1235,19.0
1236,19.0
1237,24.0
1238,24.0
1239,17.0
1240,11.0
1241,17.0
1242,14.0
1243,16.0
1244,16.0
1245,18.0
1246,22.0
1247,30.0
1248,27.0
1249,29.0
1250,20.0
1251,14.0
1252,19.0
1253,16.0
1254,12.0
1255,13.0
1256,15.0
1257,11.0
1258,19.0
1259,16.0
1260,27.0
1261,23.0
1262,29.0
1263,26.0
1264,39.0
1265,52.0
1266,65.0
1267,91.0
1268,103.0
1269,99.0
1270,99.0
1271,103.0
1272,96.0
1273,76.0
1274,69.0
1275,83.0
1276,62.0
1277,51.0
1278,53.0
1279,68.0
1280,71.0
1281,62.0
1282,58.0
1283,69.0
1284,74.0
1285,67.0
1286,57.0
1287,69.0
1288,83.0
1289,92.0
1290,100.0
1291,108.0
1292,132.0
1293,132.0
1294,134.0
1295,128.0
1296,124.0
1297,116.0
1298,114.0
1299,70.0
1300,76.0
1301,68.0
1302,74.0
1303,75.0
1304,63.0
1305,73.0
1306,61.0
1307,63.0
1308,65.0
1309,43.0
